Komoditas,Tahun,Bulan,Stok
Beras Penggilingan,2024,April,749456
Beras Pedagang,2024,April,100173
Jagung ,2024,April,1228880
Bawang Merah ,2024,April,35747
Cabai Besar,2024,April,32434
Cabai Rawit,2024,April,31112
Bawang Putih,2024,April,8630
Daging Ayam,2024,April,13128
Telur Ayam,2024,April,31334
Daging Sapi,2024,April,21568
Gula Pasir,2024,April,202639
Beras Penggilingan,2024,Mei,515005
Beras Pedagang,2024,Mei,135109
Jagung ,2024,Mei,1158583
Bawang Merah ,2024,Mei,28348
Cabai Besar,2024,Mei,28509
Cabai Rawit,2024,Mei,26410
Bawang Putih,2024,Mei,7137
Daging Ayam,2024,Mei,13653
Telur Ayam,2024,Mei,36092
Daging Sapi,2024,Mei,24858
Gula Pasir,2024,Mei,214324
Beras Penggilingan,2024,Juni,278319
Beras Pedagang,2024,Juni,157237
Jagung ,2024,Juni,1008583
Bawang Merah ,2024,Juni,42018
Cabai Besar,2024,Juni,35551
Cabai Rawit,2024,Juni,26214
Bawang Putih,2024,Juni,7040
Daging Ayam,2024,Juni,15790
Telur Ayam,2024,Juni,38252
Daging Sapi,2024,Juni,25994
Gula Pasir,2024,Juni,145938
Beras Penggilingan,2024,Juli,211671
Beras Pedagang,2024,Juli,132338
Jagung ,2024,Juli,964135
Bawang Merah ,2024,Juli,32868
Cabai Besar,2024,Juli,19237
Cabai Rawit,2024,Juli,32147
Bawang Putih,2024,Juli,10123
Daging Ayam,2024,Juli,21541
Telur Ayam,2024,Juli,42468
Daging Sapi,2024,Juli,32497
Gula Pasir,2024,Juli,292618
Beras Penggilingan,2024,Agustus,303535
Beras Pedagang,2024,Agustus,462179
Jagung ,2024,Agustus,1180063
Bawang Merah ,2024,Agustus,47669
Cabai Besar,2024,Agustus,16910
Cabai Rawit,2024,Agustus,33220
Bawang Putih,2024,Agustus,4511
Daging Ayam,2024,Agustus,20036
Telur Ayam,2024,Agustus,45537
Daging Sapi,2024,Agustus,22427
Gula Pasir,2024,Agustus,251200
Beras Penggilingan,2024,September,338236
Beras Pedagang,2024,September,449844
Jagung ,2024,September,1286827
Bawang Merah ,2024,September,87797
Cabai Besar,2024,September,34078
Cabai Rawit,2024,September,20025
Bawang Putih,2024,September,8658
Daging Ayam,2024,September,32069
Telur Ayam,2024,September,48091
Daging Sapi,2024,September,20845
Gula Pasir,2024,September,139285
Beras Penggilingan,2024,Oktober,313348
Beras Pedagang,2024,Oktober,242119
Jagung ,2024,Oktober,1077108
Bawang Merah ,2024,Oktober,61270
Cabai Besar,2024,Oktober,25361
Cabai Rawit,2024,Oktober,24738
Bawang Putih,2024,Oktober,6599
Daging Ayam,2024,Oktober,35066
Telur Ayam,2024,Oktober,41696
Daging Sapi,2024,Oktober,15724
Gula Pasir,2024,Oktober,184636
Beras Penggilingan,2024,November,188625
Beras Pedagang,2024,November,361253
Jagung ,2024,November,951071
Bawang Merah ,2024,November,49211
Cabai Besar,2024,November,35165
Cabai Rawit,2024,November,29887
Bawang Putih,2024,November,8414
Daging Ayam,2024,November,33145
Telur Ayam,2024,November,42234
Daging Sapi,2024,November,25096
Gula Pasir,2024,November,239457
Beras Penggilingan,2024,Desember,257499
Beras Pedagang,2024,Desember,254572
Jagung ,2024,Desember,1091903
Bawang Merah ,2024,Desember,46289
Cabai Besar,2024,Desember,30524
Cabai Rawit,2024,Desember,22300
Bawang Putih,2024,Desember,8201
Daging Ayam,2024,Desember,42115
Telur Ayam,2024,Desember,43078
Daging Sapi,2024,Desember,28256
Gula Pasir,2024,Desember,234023
